"","studyName","lai","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc"
"1","Abe1981","","","","","","","","","","",NA,"",NA,"","","?","","","?","?","?","d3","","","m4,x1","","","","e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"2","Aiba2005","","","","a1","","","","","","",NA,"",NA,"","","","f","","?","","d1,f","","","?","m3,x6","","","","m3","","m3","","","m3","","a1","","","","","","","","","","",""
"3","Aiba2007","","","","a1","","","","","","",NA,"",NA,"","","","?","","?","?","?","","","","m3,x6","","","","mx","","m3","","","m3","","a1","","","","","","","","","","",""
"4","Albrektson1984","","","?","","","?","","","?","",NA,"",NA,"","?","","?","","?","?","","","","","m4,x1","","","","m4","","m4","","","m4","","","","","","","","","","","","",""
"5","Ando1962","","","?","","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","m4","","","","e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"6","Ando1973","","","?","","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","mx","mx","","","","","","","","","","","",""
"7","Ando1988","","","","","","","","","","",NA,"",NA,"","","?","","","?","?","?","d3","","","m4,x1","","","","e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"8","Aspinwall2013","","",NA,"a4","","","","","","",NA,"",NA,"","","","","","c, p3","","p2, d1, f","p2, d3, f","","","e2, m3","","","","m3","m3","e2, m3","m3",NA,"m3","x7, m3","","a1, a4","","","","","","","","","",""
"9","Baltzer2007","","","k3","a1,x6","","","","","","",NA,"",NA,"","","","","","d7,p3","","d1,f","","","","m3,x6","","","","m3","","","","","m3","","a1","m3,x1","","","","","","","","","",""
"10","Baraloto2006","","","","a1","","","","","","",NA,"",NA,"","","","","","?","","?","","","","m2,x6","","","","m2","","","","","m2","","","m2,a1,x6","","","","","","","","","",""
"11","Battaglia1998","","","","k3","","p1","p1","","p1","p1",NA,"",NA,"","","p1","","","p3","p3","p1","p1","","","","","","","","","","","","","","","k3","","","","","","","","","",""
"12","BondLamberty2002","","",NA,"","","v4","","","","",NA,"",NA,"","","","","","?","","p1,p3","p1,p3","","","m3","","","","","","","","r1","","","","","","","","","","","","","",""
"13","Brown1978","","","?","?","","","","","","",NA,"",NA,"","?","","?","","?","?","","?","?","","?","","","","?","","?","","","","","","","","","","","","","","","",""
"14","Burger1953","","","?","a5","","","","","","",NA,"",NA,"","","","","","?","?","","?","?","","?","","","","","","?","","","","","","","","","","","","","","","",""
"15","Camac0000","","","","","","","","","","",NA,"",NA,"","","","","","d7,p2","","d1,p2","","","","m3","","","","m3","m3","","","","","","","","","","","","","","","","",""
"16","Claveau2002","","?","?","","","","","","","",NA,"",NA,"","","","","","?",NA,"d4","","f,f","?","","","","","","","","","","","","","","","","","","","","","","",""
"17","Claveau2005","","?","?","e1,a7","","","","","","",NA,"",NA,"","","","","","?","","d4","","","","m3,x6","","","","m3","m3","m3","","","","","","m3,x1","","","","","","","","","",""
"18","Coll2008","","","","","","","","","","",NA,"",NA,"","","","","","?","","v3","","","","mx","","","","mx","mx","mx","","","mx","mx","?","?","","","","","","","","","",""
"19","Dannoura2006","","","?","","","","","","","",NA,"",NA,"","","","","","?","","?","d3","","","","","","","","m4","","","","m4","m4","","","","","","","","","","","",""
"20","Delagrange0000a","","?","","?","","","","","","",NA,"",NA,"","","","","","?","?","?","","?","","?","","","","?","","","","","?","","","?","","","","","","","","","",""
"21","Delagrange0000b","","?","?","?","","","","","","",NA,"",NA,"","","","","","?","?","?","","?","","?","","","","?","","?","?","?","?","","","?","","","","","","","","","",""
"22","Delagrange2004","","l4","?","e1","","","","","","",NA,"",NA,"","","","","","?","?","?","","?","","m3,x6","","","","m3","","m3","m3","m3","m3","","","m3,x1","?","","","","?","","","","",""
"23","Domec2012","?","?","?","a4,a7,e1,k4","","j","","","?","",NA,"",NA,"","?","","?","?","?","?","","","","","m3,x1","?","?","?","?","","?","?","?","?","","a1,x1","m3,a4,a7,x1","?","?","?","?","?","?","?","?","?","?"
"24","Epron2011","?","?","?","e1",NA,"?",NA,NA,"?",NA,NA,"?",NA,NA,"?",NA,NA,NA,"?","?",NA,"?","?",NA,"m3,x1",NA,NA,"mx","mx",NA,"mx","","mx",NA,NA,NA,NA,NA,NA,NA,NA,"x1","?","?",NA,"x4",NA
"25","Fatemi2011","","","?","x1,k3","","","","","","",NA,"",NA,"","","","","","?","","d4","d3","","","m3","","","m3,j","","m3,j","m3,j","","","","","","","","","","","","","","","",""
"26","FLFU1963","","","?","e1","","","","","","",NA,"",NA,"","","?","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","mx","mx","","","","","","","","","","","",""
"27","FLFU1965","","","?","e1","","","","","","",NA,"",NA,"","","?","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"28","Furuno1967","","","","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"29","Garber2005","","","?","a4,a5,e1","","?","?","","","",NA,"",NA,"","?","","?","?","?","?","","?","?","","m3,x1","","","","","","?","","","","","","","","","","","","","","","",""
"30","Gargaglione2010","","","?","","","","","","","",NA,"",NA,"","","","","","?","","","?","","","m3,x1","?","?","?","?","","?","?","?","?","","","","","","","","","?","?","?","?","?"
"31","Ghannoum2010a","","","","a1","","","","","","",NA,"",NA,"","","","","","?","","d1,f","","","","m4,x6","","","","m3","","","","","m3","","","m4,a1,x6","","","","","","","","","",""
"32","Ghannoum2010b","","","","a1","","","","","","",NA,"",NA,"","","","","","?","","d1,f","","","","m4,x6","","","","m3","","","","","m3","","","m4,a1,x6","","","","","","","","","",""
"33","Goto2003","","","?","a1,e1,a4","","","","","","",NA,"",NA,"","","?","","","?","?","?","d3","","","m4","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"34","Hagihara1993","","","?","e1,a4","","","","","","",NA,"",NA,"","","","","","?","?","d4","d3","","","m4,x1","","","","m4","","m4","","","m4","","","","","","","","","","","","",""
"35","Hamilton2005","","","","","","","","","","",NA,"",NA,"","","","","","?","","","d3","?","","m4,x1","","","m4","","","m4","","","","m4","","","","","","","","","","","",""
"36","Harada1972","","","?","","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","mx,x1","","","","mx,e2","mx","mx","","","mx","mx","","","","","","","","","","","",""
"37","Harja2012","","l7","","","","","","","","",NA,"",NA,"","","","","","?","?","","?","f","","","","","","","","","","","","","","","?","","","","","","","","",""
"38","Haruki1979","","","","","","","","","","",NA,"",NA,"","","","","","?","","?","d3","","","m4,x1","","","","e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"39","Hashizume1980","","","?","","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","mx,x1","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"40","Hashizume1985","","","?","","","","","","","",NA,"",NA,"","","","","","?","?","","d3","?","","m4","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"41","Holdaway2008","","","k1","a1,e3","","","","","","",NA,"",NA,"?","?","","","","d7,p3","","d2,p2","p1,p3","","","m3,x6","","","","","","","","","","","a1,e3","m3,a1,x6","","","","","","","","","",""
"42","Iijima1991","","","?","e1,a4","","","","","","",NA,"",NA,"","","?","","","?","?","","d3","","","m4","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"43","Ikushima1964","","","","?","","","","","","",NA,"",NA,"","","","","","","","","d3","","","mx","","","","","mx","","","","","","","","","","","","","","","","",""
"44","Ilomaki2003","","","","","","","","","","",NA,"",NA,"","","","","","c,d7,p3","c,d7,p3","","d3","","","m3,x1","","","","j,m3","","k4,x1,m3","","","","","","","","","","","","","","","",""
"45","Ishii2000","","","","?","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx,x1","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"46","Kabaya1968","","","","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"47","Kabaya1981","","","?","","","","","","","",NA,"",NA,"","","","","","?","","?","d3","","","m4","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"48","Kantola2004","","","n1","e1,a5","","","","","","",NA,"",NA,"","d3","","f","","c,d7,p3","c,d7,p3","","d3","d1,f","","m3,x1,k4","","","","v1","","m3,x1,k4","","","","","","","","","","","","","","","",""
"49","Karizumi1984","","","?","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","mx","mx","","","","","","","","","","","",""
"50","Katagiri1984","","","?","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"51","Katakura2007","","","","","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","m4","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"52","Kato1973","","","?","?","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","m4,x1","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"53","Kawahara1981","","","","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"54","Kawanabe1977","","","?","?","","","","","","",NA,"",NA,"","","?","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"55","Kelly0000a","","","","a1,x7,x1","","","","","","",NA,"",NA,"","","","","?","m3","","","","?","","","","","","","","","","","","","ax1,1","","","","","","","","","","",""
"56","Kelly0000b","","","","a1,x7,x1","","","","","","",NA,"",NA,"","","","","","?","","?","","f","","m3","","","","m3","m3","","m3","m3","m3","m3","","","","","","","","","","","",""
"57","Kenzo2009","","l4","","","","","","","","",NA,"",NA,"","","","","",NA,NA,"d1,f","d3","","","m3,x1","","","","m4,x1","","","m4,x1","m4,x1","m4,x1","","","m3,x1","?","","","","m3","m3","","","m3","m3"
"58","Kenzo2009b","","","","","","","","","","",NA,"",NA,"","","","","",NA,NA,"d1,f","d3","","","m3,x1","","","","m4,x1","","m4,x1","","","m4,x1","","","m3,x1","?","","","","","","","","",""
"59","King1994","","l2","","a3","","","","","","",NA,"",NA,"","","","","","d7,p3","","","","","","m3,x1","","","","x8","","","","","","","a3","","","","","","","","","","",""
"60","King1996","","","","","","","","","","",NA,"",NA,"","","","","","p4","d6","d4,v3,x1","","f,d1,f","d8","","","","","","","","","","","","","","","","","","","","","","",""
"61","Kitazawa1959","","","","e1","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx,x1","","","","","mx,x1","","","","","","","","","","","","","","","","",""
"62","Kohyama0000","","","","","","","","","","",NA,"",NA,"","","","","","?","","","","?","","m4","","","","m4","","","","","m4","","","","","","","","","","","","",""
"63","Kohyama1987","","","","e1","","","","","","",NA,"",NA,"","","","","","?","?","",NA,"f","","m4,x6","","","","m4","","m4","","","","","","","","","","","","","","","",""
"64","Kohyama1990","","","","e1","","","","","","",NA,"",NA,"","","","f","","?","?","",NA,"","","m4,x6","","","","m4","m4","m4","","","","","","m4,a1,x1","","","","","","","","","",""
"65","Kohyama1994","","","","a1,a4","","","","","","",NA,"",NA,"","","","","","?","","","","?","","m4,x6","","","","m4","","","","","m4","","","m4,a1,x6","","","","","","","","","",""
"66","Komiyama2002","","","","e1,x1","","","","","","",NA,"",NA,"","","?","","","?","?","","d3","","","m4","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"67","Komiyama2003","","","?","","","","","","","",NA,"",NA,"","","?","","","?","?","?","d3","","","","","","","","m4","","","","m4","m4","","","","","","","","","","","",""
"68","leMaire2011","k3","?","k1","e1","d1","","","","","",NA,"",NA,"","v3","","","","x6","x6","","","v6","","m3,x6,x1","","","","","","m3","","","","","","m3,x1","j,k3","","","","","","","","",""
"69","Lewis2013","","","","a1,x7,x1","","","","","","",NA,"",NA,"","","","","","","","","","","","m3","","","","m3","","","","","m3","","","?","","","","","","","","","",""
"70","Lusk0000a","","","","?","","","","","","",NA,"",NA,"","","","?","?","?","?","d1,f","","","","mx","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"71","Lusk0000b","","","","?","","","","","","",NA,"",NA,"","","","?","?","?","?","d1,f","","","","mx","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"72","Lusk2002","","","","a1,x6","","","","","","",NA,"",NA,"","","","?","?","?","?","?","","","","m3,x6","","","","mx","","","","","mx","","","","","","","","","","","","",""
"73","Lusk2004","","","","a1,x6","","","","","","",NA,"",NA,"","","","?","?","?","?","?","","","","m3,x6","","","","mx","","","","","mx","","","","","","","","","","","","",""
"74","Lusk2011","","","","a1,x6","","","","","","",NA,"",NA,"","","","?","?","?","?","d1,f","","","","m3,x6","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"75","Lusk2012","","","","a4","","","","","","",NA,"",NA,"","","","?","?","?","?","d1,f","","","","m3,x6","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"76","Lusk2013","","","","?","","","","","","",NA,"",NA,"","","","?","?","?","?","d1,f","","","","mx","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"77","Maguire1998","","","?","a4,k4","","","","","","",NA,"",NA,"","?","","?","?","?","?","","?","?","","m3,x1,k4","","","","?","","?","","","","","","","","","","","","","","","",""
"78","Markesteijn2009","","l6","","e1","","","","","","",NA,"",NA,"d4","","d6","","","","d6","","","","","m3,x1","","","","m3","m3","m3","m3","m3","m3","m3","x1","m3,a1,x6","v1,v5","","","","","","","","",""
"79","Martin1998","","","?","e1","","j","","","","",NA,"",NA,"","","","","","?","","","?","","","m3,x1","m3","m3","m3","m3","m3","","","","","","","m3,a1,x1","?","","","","?","?","?","?","",""
"80","McCulloh2010","","","","a1,a4,e1,x1","d2,j","","","","","",NA,"",NA,"","","","","","d7","","d2,j","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","Mokany2003","","","n1","e1,k4","j","","","a2","","",NA,"",NA,"v3","","","","","c,d7,p3","c,d7,p3","","","","","m4,x6","","","","","","","","","","","","","","","","","","","","","",""
"82","Monserud1999","","","?","a4,e1","","?","?","","","",NA,"",NA,"","?","","?","?","?","?","","?","?","","m3,x1","","","","?","","?","","","","","","","","","","","","","","","",""
"83","Mori1979","","","?","","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"84","Mori1991","","","","e1,a4","","","","","","",NA,"",NA,"","","","f","","?","","","?","?","","m5,x1","","","","mx","","mx","","","mx","","","","","","","","","","","","",""
"85","Morisawa1957","","","","e1,x2","","","","","","",NA,"",NA,"","","","?","","?","?","","d3","","","x2,m3","","","","","","","","","","","","","","","","","","","","","",""
"86","Muro2006","","","","","","","","","","",NA,"",NA,"","","","","","","","","d3","","","","","","","","","","","","m4","","","","","","","","","","","","",""
"87","Myster2009","","","","a1","","","","","","",NA,"",NA,"","","","","","?","","","","","","m1","","","","m1","","","","","m1","","","","","","","","","","","","",""
