"","ksat","kl","P50","ax","SLA","WD","citation_id","site_id","species_id"
"1","3.55","0.000214","NA","NA","15.31087462","0.305",1000000070,1000000232,227
"2","2.1","0.000225","NA","NA","NA","0.584",1000000070,1000000232,35029
"3","1.11","0.000137","NA","NA","NA","0.696666667",1000000070,1000000232,41267
"4","1.25","0.000127","NA","NA","NA","0.65",1000000070,1000000232,1000003910
"5","3.5","0.000426","NA","NA","NA","0.39",1000000070,1000000232,3762
"6","3.65","0.000275","NA","NA","NA","0.6175",1000000070,1000000232,605
"7","2.4","0.000169","NA","NA","NA","0.79235",1000000070,1000000232,27020
"8","0.45","4.8e-05","NA","NA","NA","1.04",1000000070,1000000232,1000007816
"9","2.1","0.000199","NA","NA","NA","0.86",1000000070,1000000232,1000020938
"10","1.72","0.000262","NA","NA","NA","NA",1000000070,1000000232,1000020939
"11","1.2","0.000366","NA","NA","NA","0.383333333",1000000070,1000000232,50962
"12","1.2","0.000144","NA","NA","NA","0.519545455",1000000070,1000000232,1354
"13","NA","NA","-1","54.28571429","15.31087462","0.305",1000000113,1000000232,227
"14","NA","NA","-2.87","26.57342657","NA","0.696666667",1000000113,1000000232,41267
"15","NA","NA","-2.73","49.35064935","NA","0.39",1000000113,1000000232,3762
"16","NA","NA","-3","42.22222222","NA","0.79235",1000000113,1000000232,27020
"17","NA","NA","-3.03","43.67816092","NA","0.86",1000000113,1000000232,1000020938
"18","NA","NA","-2.8","20","NA","NA",1000000113,1000000232,1000020939
"19","NA","NA","-2","54.28571429","NA","0.383333333",1000000113,1000000232,13388
"20","NA","NA","-2.2","42.22222222","NA","0.519545455",1000000113,1000000232,1354
"21","0.41","0.000578","NA","NA","3.91","0.633",1000000114,1000025739,1000004882
"22","0.93","0.001841","NA","NA","7.38","0.455",1000000114,1000025739,50498
"23","4.73","0.00067","-2.17","20.10582011","15.8","0.33",1000000069,1000025739,1000001544
"24","5.37","0.000682","-2.3","17.9245283","15.2","0.31",1000000069,1000025739,1000001544
"25","2.05","0.000757","-1.93","14.78599222","10.2","0.53",1000000069,1000025739,1000001544
"26","2.28","0.000776","-1.72","16.10169492","11.7","0.49",1000000069,1000025739,1000001544
"27","3.5","0.000756","-2.03","52.77777778","14.9","0.35",1000000069,1000025739,10238
"28","3.88","0.000877","-1.97","21.46892655","17.4","0.38",1000000069,1000025739,10238
"29","2.67","0.001078","-1.48","14.96062992","14.5","0.35",1000000069,1000025739,10238
"30","2.78","0.001187","-1.62","15.57377049","10.8","0.34",1000000069,1000025739,10238
"31","1.69","0.000629","-2.03","11.9873817","8.1","0.41",1000000069,1000025739,50687
"32","1.62","0.000674","-1.87","10.21505376","10.5","0.42",1000000069,1000025739,50687
"33","1.11","0.000987","-1.48","12.7090301","7.5","0.42",1000000069,1000025739,50687
"34","0.96","0.000824","-1.48","12.17948718","7.64","0.46",1000000069,1000025739,50687
"35","1.26","0.000575","-2.23","13.62007168","7.9","0.46",1000000069,1000025739,1000012111
"36","1.7","0.000364","-2.5","12.79461279","7.9","0.45",1000000069,1000025739,1000012111
"37","0.94","0.00058","-1.65","11.01449275","6","0.48",1000000069,1000025739,1000012111
"38","1.15","0.000857","-1.72","10.38251366","5.7","0.48",1000000069,1000025739,1000012111
"39","3.23","0.00055","-2.17","21.34831461","5.8","0.46",1000000069,1000025739,1000020872
"40","2.67","0.000389","-2.43","25","5.4","0.56",1000000069,1000025739,1000020872
"41","0.96","0.000712","-1.77","14.23220974","2.9","0.59",1000000069,1000025739,1000020872
"42","2.14","0.000666","-1.72","17.04035874","3.76","0.56",1000000069,1000025739,1000020872
"43","NA","0.000578","NA","NA","NA","NA",1000000115,1000025739,1000004882
"44","NA","0.00184","-1.91","NA","4.897788194","NA",1000000115,1000025739,50498
"45","NA","0.0012","-3.35","NA","NA","NA",1000000115,1000025739,1000020874
"46","NA","NA","-1.1","NA","NA","NA",1000000116,1000026726,1000020903
"47","NA","NA","-1.7","NA","NA","NA",1000000116,1000026726,1000020904
"48","NA","NA","-1.27","NA","NA","0.466625",1000000117,1000026724,19340
"49","4.41","0.000364","-1.14","52.77777778","NA","0.41",1000000117,1000026724,1000020934
"50","6.21","NA","-1.53","NA","11.04","0.53",1000000118,1000026724,1000020916
"51","3.95","NA","-1.43","NA","13.29","0.51",1000000118,1000026724,1000020927
"52","2.2","NA","-2.51","NA","12.5","0.44",1000000118,1000026724,1000020895
"53","1.69","NA","-2.25","NA","NA","NA",1000000118,1000026724,1000020896
"54","1.86","NA","-2.93","NA","12.08","0.55",1000000118,1000026724,1000020942
"55","4.89","0.001003","-5.56","10.88825215","9.44","0.67",1000000119,1000026727,1000020905
"56","NA","NA","-5.12","NA","NA","NA",1000000119,1000026727,1000020889
"57","6.7","0.002019","-3.17","19.19191919","13.44","0.25",1000000119,1000026727,1000020911
"58","7.75","0.003982","-1.44","62.29508197","16.5","0.3",1000000119,1000026727,1000020890
"59","1.24","0.00018","-5.12","5.523255814","11.61","0.71",1000000119,1000026727,1000020889
"60","9.562827947","0.001258637","-3.6","15.70247934","10.13067281","0.520307692",1000000027,1000025740,380
"61","10.99587564","0.001203539","-2.93","17.11711712","11.44952373","0.520307692",1000000027,1000005005,380
"62","8.931733887","0.001022978","-1.78","20.32085561","11.62621607","0.520307692",1000000027,1000000013,380
"63","NA","NA","-2.34","NA","NA","NA",1000000027,1000025740,1000003459
"64","7.806902666","0.000807631","-1.2","28.14814815","13.69162853","NA",1000000027,1000000013,1000003422
"65","1.842397477","0.000248493","NA","NA","32.62398287","NA",1000000027,1000025740,1000020891
"66","3.764341188","0.000191891","-2.57","22.35294118","17.85176439","0.397",1000000027,1000005005,1000003442
"67","3.323462731","0.000288741","-1.58","27.3381295","17.82559317","NA",1000000027,1000000013,1000003446
"68","3.71533023","0.000404829","-2.34","22.22222222","7.565508966","0.39",1000000027,1000025740,1000003459
"69","11.63171081","0.000731387","-2.33","29.6875","11.03015463","NA",1000000027,1000005005,1000003460
"70","4.52","0.00047","-0.9","NA","8.47","0.35",1000000071,2000000002,49943
"71","8.68","0.00072","-0.17","NA","15.3","0.27",1000000071,2000000002,49953
"72","4.25","0.00054","-1.19","NA","15.7","0.37",1000000071,2000000002,1000011255
"73","3.19","0.00049","-0.48","NA","14.1","0.41",1000000071,2000000002,49993
"74","14.8","0.00178","-0.4","NA","NA","0.37",1000000071,2000000002,380
"75","1.26","0.00022","-0.87","NA","16.1","0.27",1000000071,2000000002,50567
"76","NA","NA","-3.4","NA","NA","0.61",1000000073,1000025741,746
"77","1.12","0.000125","-3.1","NA","NA","NA",1000000121,1000025742,1000020928
"78","1.1","0.000127","-4.620333333","NA","NA","0.61",1000000121,1000025742,48766
"79","9.2","0.00041","NA","NA","NA","NA",1000000121,1000025742,19743
"80","3.87","0.00032","NA","NA","NA","NA",1000000121,1000025742,1000020931
"81","1.45455","0.000188","NA","NA","NA","NA",1000000121,1000025742,24048
"82","8.2","0.0004445","NA","NA","NA","0.428666667",1000000121,1000025742,44340
"83","0.45","0.000125","NA","NA","NA","0.476875",1000000121,1000025742,33546
"84","5.87","0.00024","NA","NA","10.47128548","0.345333333",1000000121,1000025742,3418
"85","7.66942","0.000297","NA","NA","NA","NA",1000000121,1000025742,1000020887
"86","0.23","0.00062","NA","NA","NA","NA",1000000075,1000025743,1000000871
"87","0.12","0.00013","NA","NA","3.801893963","NA",1000000075,1000025743,50136
"88","0.39","0.00041","NA","NA","NA","NA",1000000075,1000025743,1000020922
"89","0.64","0.00062","NA","NA","NA","NA",1000000075,1000025743,1000004162
"90","0.39","0.00033","NA","NA","NA","NA",1000000075,1000025743,1000004518
"91","0.51","0.00045","NA","NA","NA","NA",1000000075,1000025743,5736
"92","0.48","0.00026","NA","NA","NA","NA",1000000075,1000025743,1000020936
"93","0.65","0.00063","NA","NA","NA","NA",1000000075,1000025743,1000020941
"94","1.7","NA","NA","NA","NA","0.7",1000000076,1000000346,1000001917
"95","0.9","NA","NA","NA","NA","0.56",1000000076,1000000346,46256
"96","3","NA","NA","NA","NA","0.31",1000000076,1000000346,1000020919
"97","2.9","NA","NA","NA","NA","0.59",1000000076,1000000346,380
"98","1.7","NA","NA","NA","NA","0.475",1000000076,1000000346,5467
"99","5.5","NA","NA","NA","NA","0.47",1000000076,1000000346,1000020930
"100","2.2","NA","NA","NA","NA","0.605",1000000076,1000000346,1000006740
"101","1.1","NA","NA","NA","NA","0.725",1000000076,1000000346,1000011797
"102","2.4","NA","NA","NA","NA","0.625",1000000076,1000000346,1000020940
"103","2.9","NA","NA","NA","NA","0.39",1000000076,1000000346,24450
"104","NA","NA","-1.64","50.66666667","NA","0.454669",1000000123,1000026735,1000004518
"105","NA","NA","-4.68","28.78787879","NA","0.554086",1000000123,1000026739,1000020925
"106","NA","NA","-2.3","NA","6.27335696","0.415",1000000123,1000026737,40294
"107","NA","NA","-3","35.51401869","NA","NA",1000000123,1000026730,1000020970
"108","NA","NA","-2.3","40.86021505","NA","NA",1000000123,1000026731,1000020971
"109","NA","NA","-5.2","39.58333333","NA","0.627626",1000000123,1000026732,1000020946
"110","NA","NA","-3.45","39.17525773","NA","0.574514",1000000123,1000026733,1000020972
"111","NA","NA","-3.6","15.96638655","NA","NA",1000000123,1000026736,1000020973
"112","NA","NA","-3.27","43.18181818","NA","0.408366",1000000123,1000026718,1000020974
"113","4.73","0.001092","-3.1","NA","NA","0.53",1000000101,1000025739,1000020880
"114","2.94","0.000412","-2.8","NA","NA","0.56",1000000101,1000025739,1000020868
"115","3.59","0.000656","-3.17","NA","NA","0.72",1000000101,1000025739,1000020879
"116","5.37","0.000344","-3.4","NA","NA","0.74",1000000101,1000025739,1000008327
"117","NA","NA","-3.1","NA","NA","NA",1000000101,1000025739,1000020880
"118","3.25","0.000434","-3.08","NA","NA","0.62",1000000101,1000025739,1000020881
"119","2","0.000384","-2.12","NA","NA","0.52",1000000101,1000025739,1000009201
"120","2.59","0.000487","-3.35","NA","NA","0.49",1000000101,1000025739,1000020874
"121","3.45","0.00069","-2","NA","NA","0.54",1000000101,1000025739,1000020875
"122","1.62","0.000417","-1.5","NA","NA","0.38",1000000101,1000025739,1000020876
"123","4.78","0.000856","-1.6","NA","NA","0.48",1000000101,1000025739,1000020877
"124","1.1","0.0051","-1.45","NA","10.83926914","0.43",1000000078,2000000002,49943
"125","NA","0.00059","-0.9","38","15.31087462","0.305",1000000060,1000005005,227
"126","NA","3.46e-05","-0.8","25.33333333","NA","0.53",1000000060,1000005005,46649
"127","NA","0.000658","-3.2","58.46153846","NA","0.520307692",1000000060,1000005005,380
"128","NA","0.000162","-1.6","63.33333333","NA","0.4",1000000060,1000005005,33851
"129","NA","6.3e-05","-1.6","34.54545455","NA","0.413571429",1000000060,1000005005,50795
"130","2.1","0.00114","-1","95","NA","0.19",1000000061,1000005005,25655
"131","1.6","0.000515","-1","95","7.762471166","0.25",1000000061,1000005005,50836
"132","NA","NA","-1.56","NA","10.83926914","0.39",1000000079,2000000002,49943
"133","NA","NA","-3","NA","NA","0.52",1000000079,2000000002,380
"134","NA","NA","-1.66","NA","NA","0.29",1000000079,2000000002,1000005277
"135","NA","NA","-1.68","NA","NA","0.28",1000000079,2000000002,51206
"136","1.556485","NA","NA","NA","NA","NA",1000000124,2000000003,1000000969
"137","NA","NA","-2.1","NA","NA","0.655",1000000124,2000000002,28944
"138","NA","NA","-1.9","NA","NA","0.376555556",1000000124,2000000002,1000005277
"139","8.761506","NA","NA","NA","9.66050879","0.417",1000000124,2000000002,50567
"140","NA","NA","-2.7","NA","NA","0.872933333",1000000124,2000000002,43171
"141","NA","NA","-1.7","NA","NA","0.452333333",1000000124,2000000002,1000011665
"142","NA","NA","-1.6","NA","NA","0.521",1000000124,2000000002,50999
"143","NA","NA","-1.8","NA","NA","0.457",1000000124,2000000002,1000014356
"144","NA","NA","-1.1","NA","NA","0.424",1000000124,2000000002,1000014798
"145","NA","NA","-1","NA","NA","0.410166667",1000000124,2000000002,1000015271
"146","5.36","NA","-0.96","NA","NA","0.48",1000000125,1000000346,1000020907
"147","0.99","NA","-4.61","NA","NA","0.56",1000000125,1000000346,1000020909
"148","10.24","NA","-1.36","NA","NA","0.4",1000000125,1000000346,1000020912
"149","15.4","NA","-2.54","NA","NA","0.4",1000000125,1000000346,1000020913
"150","4.95","NA","-2.07","NA","NA","0.85",1000000125,1000000346,1000001917
"151","2.6","NA","-2.51","NA","NA","0.71",1000000125,1000000346,1000020914
"152","1.21","NA","-3.18","NA","NA","0.63",1000000125,1000000346,380
"153","1.59","NA","-1.15","NA","NA","0.54",1000000125,1000000346,1000020920
"154","0.43","NA","-4.74","NA","NA","1.06",1000000125,1000000346,1000020926
"155","14.82","NA","-0.85","NA","NA","0.64",1000000125,1000000346,605
"156","9.67","NA","-0.66","NA","NA","0.55",1000000125,1000000346,1000020930
"157","1.53","NA","-1.94","NA","NA","0.73",1000000125,1000000346,1000020898
"158","NA","0.0002844","NA","NA","NA","0.7",1000000126,1000005010,1000000969
"159","NA","0.0006084","NA","NA","NA","0.61",1000000126,2000000002,28944
"160","NA","0.0011088","NA","NA","NA","0.47",1000000126,2000000002,380
"161","NA","0.0006732","NA","NA","NA","0.53",1000000126,1000005010,1000020956
"162","NA","0.0022158","NA","NA","NA","0.34",1000000126,2000000002,1000005277
"163","NA","0.0006912","NA","NA","NA","0.42",1000000126,1000005010,1000005776
"164","NA","0.0006138","NA","NA","NA","0.58",1000000126,1000005010,1000006376
"165","NA","0.0020736","NA","NA","9.66050879","0.33",1000000126,2000000002,50567
"166","NA","0.000567","NA","NA","NA","0.61",1000000126,1000005010,43171
"167","NA","0.0005382","NA","NA","NA","0.48",1000000126,1000005010,1000007859
"168","NA","0.001458","NA","NA","NA","0.5",1000000126,1000005010,1000008488
"169","NA","0.0010602","NA","NA","NA","0.55",1000000126,1000005010,1000020884
"170","NA","0.0008244","NA","NA","NA","0.58",1000000126,1000005010,1000009467
"171","NA","0.000711","NA","NA","8.511380382","0.43",1000000126,1000005010,50786
"172","NA","0.0008982","NA","NA","NA","0.45",1000000126,1000005010,1000011418
"173","NA","0.0018432","NA","NA","NA","0.41",1000000126,1000005010,50962
"174","NA","0.001116","NA","NA","NA","0.43",1000000126,1000005010,1000014356
"175","NA","0.000774","NA","NA","NA","0.57",1000000126,1000005010,1000014798
"176","NA","0.0010944","NA","NA","NA","0.5",1000000126,1000005010,25996
"177","NA","0.0016506","NA","NA","NA","0.35",1000000126,1000005010,1000015271
"178","1.56","0.000398","NA","NA","6.002","0.6",1000000127,1000025739,49981
"179","4.02","0.000915","NA","NA","7.45","0.545",1000000127,1000025739,49981
"180","3.55","0.000909","NA","NA","7.86","0.497",1000000127,1000025739,49981
"181","2.67","0.000521","NA","NA","6.002","0.6",1000000127,1000025739,1000020901
"182","4.33","0.000932","NA","NA","7.452","0.54",1000000127,1000025739,1000020901
"183","4.21","0.001408","NA","NA","7.865","0.497",1000000127,1000025739,1000020901
"184","8.1","NA","NA","NA","10.123","0.46",1000000127,1000025739,1000020929
"185","2.56","0.000845","NA","NA","7.467","0.498",1000000127,1000025739,1000005697
"186","3.7","0.00111","NA","NA","8.108","0.496",1000000127,1000025739,1000005697
"187","4.8","0.0012","NA","NA","8.105","0.497",1000000127,1000025739,1000005697
"188","7.7","0.0029","NA","NA","10.016","0.467",1000000127,1000025739,622
"189","7.4","0.0032","NA","NA","9.92","0.44",1000000127,1000025739,1000020937
"190","0.99","0.000523","NA","NA","5.747","0.606",1000000127,1000025739,50863
"191","2.22","0.000901","NA","NA","7.2","0.52",1000000127,1000025739,50863
"192","2.05","0.000754","NA","NA","6.15","0.57",1000000127,1000025739,50863
"193","NA","0.000925","-1.48","55.07246377","NA","0.39",1000000128,1000026738,1000003910
"194","0.41","9.95e-05","-3.82","NA","NA","NA",1000000130,1000025744,1000020910
"195","0.105","1.58e-05","-2.45","10.55555556","6.918309709","NA",1000000130,1000025744,50069
"196","1.26","9.19e-05","-2.42","10.46831956","26.91534804","NA",1000000130,1000025744,50163
"197","0.98","9.63e-05","-1.77","11.37724551","23.98832919","NA",1000000130,1000025744,49882
"198","0.14","3.47e-05","-2.39","10.0795756","6.760829754","0.88",1000000130,1000025744,13503
"199","0.54","7.06e-05","-1.65","8.71559633","15.13561248","0.6835",1000000130,1000025744,25660
"200","NA","NA","-6.3","NA","NA","0.897714286",1000000081,1000026717,1196
"201","1.3","NA","-4.8","NA","NA","0.82",1000000081,1000005005,10766
"202","NA","NA","-0.23","NA","NA","0.95",1000000063,1000026717,45817
"203","NA","NA","-1.3","16.53611836","NA","0.5005",1000000063,1000026718,1000020957
"204","NA","NA","-1.741","55.47445255","NA","NA",1000000063,1000026719,1000006069
"205","NA","NA","-0.789","NA","NA","NA",1000000063,1000026720,1000006073
"206","NA","NA","-0.615","19.48717949","NA","0.65",1000000063,1000026721,1000020932
"207","NA","NA","-3.28","NA","NA","NA",1000000063,1000026722,32425
"208","NA","NA","-1.253","15.66364386","NA","NA",1000000063,1000026723,1000020969
"209","NA","NA","-4.68","19.79166667","NA","0.82",1000000131,1000005005,1000002292
"210","NA","NA","-1.38","82.60869565","NA","0.4559375",1000000132,1000005005,51206
"211","NA","NA","-1.91","NA","NA","0.383333333",1000000133,1000026729,1000020947
"212","NA","NA","-0.71","NA","NA","NA",1000000133,1000026729,1000020948
"213","NA","NA","-0.63","43.67816092","NA","0.63",1000000133,1000026728,1000020908
"214","NA","NA","-1.47","NA","NA","0.33",1000000133,1000026729,1000020949
"215","NA","NA","-0.45","NA","NA","0.815",1000000133,1000026729,1000020951
"216","NA","NA","-0.42","74.50980392","NA","0.54",1000000133,1000026728,1000020952
"217","NA","NA","-0.6","NA","NA","0.595",1000000133,1000026729,1000020924
"218","NA","NA","-0.79","105.5555556","NA","0.65",1000000133,1000026728,1000020953
"219","NA","NA","-0.18","223.5294118","NA","0.7",1000000133,1000026728,1000020954
"220","NA","NA","-0.26","NA","NA","0.68",1000000133,1000026728,40969
"221","NA","NA","-0.26","200","NA","0.65",1000000133,1000026728,1000020955
"222","NA","NA","-0.6","NA","NA","NA",1000000133,1000026729,1000020892
"223","NA","NA","-1.26","NA","NA","NA",1000000133,1000026729,1000020893
"224","NA","NA","-0.54","NA","NA","0.87",1000000133,1000026729,1000020894
"225","NA","NA","-1.69","43.67816092","NA","0.53",1000000133,1000026728,1000020958
"226","NA","NA","-6.3","NA","NA","NA",1000000133,1000026729,1000020882
"227","NA","NA","-0.48","NA","NA","0.93",1000000133,1000026729,1000020959
"228","NA","NA","-0.59","70.37037037","NA","0.54",1000000133,1000026728,1000020960
"229","NA","NA","-0.53","122.5806452","NA","NA",1000000133,1000026728,1000020961
"230","NA","NA","-0.76","NA","NA","0.7102",1000000133,1000026729,21315
"231","NA","NA","-0.63","74.50980392","NA","0.633333333",1000000133,1000026728,1000020962
"232","NA","NA","-0.19","165.2173913","NA","NA",1000000133,1000026728,1000020963
"233","NA","NA","-0.2","92.68292683","NA","NA",1000000133,1000026728,1000020965
"234","NA","NA","-0.37","88.37209302","NA","0.48",1000000133,1000026728,1000020885
"235","NA","NA","-0.63","140.7407407","NA","0.426666667",1000000133,1000026728,1000020886
"236","NA","NA","-0.39","158.3333333","NA","0.43",1000000133,1000026728,1000020966
"237","NA","NA","-0.86","NA","NA","0.51",1000000133,1000026729,1000020967
"238","NA","NA","-0.18","NA","NA","0.61",1000000133,1000026729,1000020968
"239","NA","NA","-0.18","NA","NA","0.77",1000000133,1000026729,1000020900
"240","4.2","0.00088","-3.4","NA","5.555","0.65",1000000134,1000025739,1000013036
"241","3.6","0.00083","-3.2","NA","5","0.67",1000000134,1000025739,1000013036
"242","6","0.0011","-3.4","NA","5.405","0.59",1000000134,1000025739,1000013036
"243","NA","NA","-3.4","NA","NA","NA",1000000134,1000025739,1000013036
"244","0.74","0.00037","-2.1","NA","NA","0.56",1000000135,1000026724,14893
"245","0.74","0.00037","-2.1","NA","NA","0.56",1000000135,1000026724,14893
"246","2.07","0.000633","-1.6","NA","NA","0.51",1000000135,1000026724,19251
"247","2.07","0.000633","-1.6","NA","NA","0.51",1000000135,1000026724,19251
"248","1.64","0.000533","-2","NA","NA","0.52",1000000135,1000026724,1000020943
"249","1.64","0.000533","-2","NA","NA","0.52",1000000135,1000026724,1000020943
"250","3.47","0.000391","-1.9","NA","NA","0.6",1000000084,1000026724,1000020906
"251","11.79","0.00098","-1.3","NA","NA","0.42",1000000084,1000026724,19215
"252","10.58","0.001059","-1.2","NA","NA","0.44",1000000084,1000026724,19251
"253","7.89","0.000533","-1.2","NA","NA","0.44",1000000084,1000026724,22718
"254","4.45","0.000371","-1.3","NA","NA","0.47",1000000084,1000026724,1000020950
"255","3.45","0.000534","-2.1","NA","NA","0.62",1000000084,1000026724,1000020915
"256","3.89","0.000468","-2.3","NA","NA","0.61",1000000084,1000026724,1000020917
"257","1.57","0.000169","-3.4","NA","NA","0.71",1000000084,1000026724,1000020918
"258","4.07","0.000438","-1.6","NA","NA","0.63",1000000084,1000026724,1000020923
"259","7.74","0.000985","-1.4","NA","NA","0.61",1000000084,1000026724,1000007008
"260","2.12","0.000223","-2","NA","NA","0.69",1000000084,1000026724,1000020933
"261","7.73","0.000777","-1.1","NA","NA","0.53",1000000084,1000026724,1000020897
"262","4.61","0.000236","-1.6","NA","NA","0.63",1000000084,1000026724,1000020935
"263","2.01","0.000387","-4.1","NA","NA","0.72",1000000084,1000026724,1000020964
"264","6.15","0.000603","-1.2","NA","7.413102413","0.61",1000000084,1000026724,36558
"265","4.57","0.000416","-2","NA","NA","0.64",1000000084,1000026724,1000020899
"266","8.06","0.000697","-1.3","NA","NA","0.53",1000000084,1000026724,1000020943
"267","2.73","0.000501","-2.2","NA","NA","0.58",1000000084,1000026724,1000020945
"268","NA","NA","-3.2","58.46153846","NA","0.520307692",1000000068,1000005005,380
"269","NA","NA","-1.6","63.33333333","NA","0.4",1000000068,1000005005,33851
"270","NA","NA","-1.8","14.07407407","NA","NA",1000000068,1000005005,1000009869
"271","9.1","0.0018","-3.3","18.0952381","10.27","0.51",1000000136,1000005005,30111
"272","4.0426","0.000670722","-3.074643425","14.17986293","15.2912","0.57106",1000000067,1000026725,49937
"273","8.0085376","0.001325324","-0.434398757","71.35798787","26.769148","0.44668",1000000067,1000026725,1000003773
"274","6.6344588","0.001207007","-1.359056703","40.97292312","36.78721","0.30128",1000000067,1000026725,1000004822
"275","5.8039816","0.000917559","-1.435378143","30.05014163","21.091442","0.47282",1000000067,1000026725,1000005068
"276","1.27166","0.000191062","-3.996514316","11.26112425","18.856968","0.5132833",1000000067,1000026725,31837
"277","1.093745","0.000303322","-1.598452836","50.55533823","16.345402","0.39436",1000000067,1000026725,1000005920
"278","1.8498364","0.000285028","-4.495364579","17.63828247","19.40248","0.45516",1000000067,1000026725,704
"279","8.04222","0.001437552","-2.027483016","39.81884936","19.5426","0.4074",1000000067,1000026725,50567
"280","2.1880484","0.000471854","-0.779175224","59.04399617","15.231692","0.58236",1000000067,1000026725,50624
"281","1.373471","0.000533683","-1.572874874","27.49481716","44.52742","0.4301167",1000000067,1000026725,1000013190
"282","0.6830346","0.000240593","-3.403316231","12.87741815","22.059242","0.56028",1000000067,1000026725,1000014401
"283","2.3815075","0.001093299","-2.631534516","20.84928618","22.878338","0.3847167",1000000067,1000026725,1000015206
"284","1.318958","0.000460579","-2.65370924","15.08845143","23.18995","0.41306",1000000067,1000026725,1000015453
"285","6.8690662","0.000741532","-2.589694304","21.27978929","23.388837","0.4267",1000000067,1000026725,51088
"286","5.26524","0.000475035","-3.53941893","19.96156217","14.590266","0.55888",1000000067,1000026725,51093
"287","7.3408","0.001241857","-2.377684574","29.04526549","14.225738","0.35238",1000000066,2000000003,49953
"288","9.11352","0.001275674","-2.065974143","22.86722251","10.02136","0.53688",1000000066,2000000003,30553
"289","9.70104","0.001545671","-0.697993285","68.20993693","20.685776","0.28148",1000000066,2000000003,15822
"290","11.9952","0.001724209","-0.73995332","76.89441033","18.1148","0.26522",1000000066,2000000003,50648
"291","8.0422","0.001710931","-0.752099638","60.90441931","13.902812","0.34366",1000000066,2000000003,24509
"292","6.831","0.001437636","-1.240017663","34.6898397","15.83768","0.3469",1000000066,2000000003,1000011418
"293","8.72496","0.001689882","-1.512397772","28.16725218","11.547208","0.50214",1000000066,2000000003,1000011665
"294","6.44182","0.001624577","-0.947587384","43.32960464","16.1094","0.38282",1000000066,2000000003,50962
"295","1.79872","0.00076449","-2.98247997","27.72041825","10.957978","0.58934",1000000066,2000000003,50999
"296","3.3879","0.001003693","-2.855256864","25.57114338","11.745478","0.55584",1000000066,2000000003,1000014356
"297","5.22424","0.000981601","-1.99214399","27.73510435","10.12885","0.4869",1000000066,2000000003,25996
