"","submit_name","genus","species","scientificname","uri","bety_id","in_PFT"
"1","Albizia guachapele","Albizia","guachapele","Albizia guachapele","http://www.tropicos.org/Name/13002026",1000020862,TRUE
"2","Alseis blackiana","Alseis","blackiana","Alseis blackiana","http://www.tropicos.org/Name/27903143",49937,TRUE
"3","Anacardium excelsum","Anacardium","excelsum","Anacardium excelsum","http://www.tropicos.org/Name/1300302",49943,TRUE
"4","Annona glabra","Annona","glabra","Annona glabra","http://www.tropicos.org/Name/1600683",30111,TRUE
"5","Annona spraguei","Annona","spraguei","Annona spraguei","http://www.tropicos.org/Name/1600100",49953,TRUE
"6","Ardisia palmana","Ardisia","palmana","Ardisia palmana","http://www.tropicos.org/Name/22000607",1000000871,TRUE
"7","Aspidosperma desmanthum","Aspidosperma","desmanthum","Aspidosperma desmanthum","http://www.tropicos.org/Name/1800106",1000000969,TRUE
"8","Astronium graveolens","Astronium","graveolens","Astronium graveolens","http://www.tropicos.org/Name/1300086",49993,TRUE
"9","Balfourodendron riedelianum","Balfourodendron","riedelianum","Balfourodendron riedelianum","http://www.tropicos.org/Name/28101311",1000020863,TRUE
"10","Bauhinia purpurea","Bauhinia","purpurea","Bauhinia purpurea","http://www.tropicos.org/Name/13047080",19215,TRUE
"11","Blepharocalyx salicifolius","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","http://www.tropicos.org/Name/22102059",1000001544,TRUE
"12","Brosimum utile","Brosimum","utile","Brosimum utile","http://www.tropicos.org/Name/100300816",30553,TRUE
"13","Bursera simaruba","Bursera","simaruba","Bursera simaruba","http://www.tropicos.org/Name/4700231",227,TRUE
"14","Byrsonima crassifolia","Byrsonima","crassifolia","Byrsonima crassifolia","http://www.tropicos.org/Name/19500795",35029,TRUE
"15","Cabralea canjerana","Cabralea","canjerana","Cabralea canjerana","http://www.tropicos.org/Name/20400624",1000001911,TRUE
"16","Calycophyllum candidissimum","Calycophyllum","candidissimum","Calycophyllum candidissimum","http://www.tropicos.org/Name/27903157",41267,TRUE
"17","Carapa guianensis","Carapa","guianensis","Carapa guianensis","http://www.tropicos.org/Name/20400362",46649,TRUE
"18","Caryocar brasiliense","Caryocar","brasiliense","Caryocar brasiliense","http://www.tropicos.org/Name/6200020",10238,TRUE
"19","Casearia corymbosa","Casearia","corymbosa","Casearia corymbosa","http://www.tropicos.org/Name/13200097",1000002246,TRUE
"20","Casearia sylvestris","Casearia","sylvestris","Casearia sylvestris","http://www.tropicos.org/Name/13200167",281,TRUE
"21","Cassipourea guianensis","Cassipourea","guianensis","Cassipourea guianensis","http://www.tropicos.org/Name/27600003",10766,TRUE
"22","Cecropia obtusifolia","Cecropia","obtusifolia","Cecropia obtusifolia","http://www.tropicos.org/Name/21300586",15822,TRUE
"23","Cedrela fissilis","Cedrela","fissilis","Cedrela fissilis","http://www.tropicos.org/Name/20400355",1000002385,TRUE
"24","Ceiba speciosa","Ceiba","speciosa","Ceiba speciosa","http://www.tropicos.org/Name/3900746",1000020865,TRUE
"25","Chrysophyllum cainito","Chrysophyllum","cainito","Chrysophyllum cainito","http://www.tropicos.org/Name/28700679",28944,TRUE
"26","Chrysophyllum gonocarpum","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum","http://www.tropicos.org/Name/28700706",1000002727,TRUE
"27","Cinnamomum camphora","Cinnamomum","camphora","Cinnamomum camphora","http://www.tropicos.org/Name/17805257",335,TRUE
"28","Clusia stenophylla","Clusia","stenophylla","Clusia stenophylla","http://www.tropicos.org/Name/7800243",50136,TRUE
"29","Cochlospermum vitifolium","Cochlospermum","vitifolium","Cochlospermum vitifolium","http://www.tropicos.org/Name/8000014",39878,TRUE
"30","Cordia alliodora","Cordia","alliodora","Cordia alliodora","http://www.tropicos.org/Name/4001123",380,TRUE
"31","Cordia cymosa","Cordia","cymosa","Cordia cymosa","http://www.tropicos.org/Name/4001646",1000003422,TRUE
"32","Cordia lasiocalyx","Cordia","lasiocalyx","Cordia lasiocalyx","http://www.tropicos.org/Name/4000309",1000003442,TRUE
"33","Cordia lucidula","Cordia","lucidula","Cordia lucidula","http://www.tropicos.org/Name/4001221",1000003446,TRUE
"34","Cordia nodosa","Cordia","nodosa","Cordia nodosa","http://www.tropicos.org/Name/4001143",1000003459,TRUE
"35","Cordia panamensis","Cordia","panamensis","Cordia panamensis","http://www.tropicos.org/Name/4001223",1000003460,TRUE
"36","Cordia trichotoma","Cordia","trichotoma","Cordia trichotoma","http://www.tropicos.org/Name/4002034",1000020866,TRUE
"37","Crescentia alata","Crescentia","alata","Crescentia alata","http://www.tropicos.org/Name/3700258",5807,TRUE
"38","Croton billbergianus","Croton","billbergianus","Croton billbergianus","http://www.tropicos.org/Name/12800819",1000003773,TRUE
"39","Cupania guatemalensis","Cupania","guatemalensis","Cupania guatemalensis","http://www.tropicos.org/Name/28600609",1000003887,TRUE
"40","Curatella americana","Curatella","americana","Curatella americana","http://www.tropicos.org/Name/10900124",1000003910,TRUE
"41","Dendropanax latilobus","Dendropanax","latilobus","Dendropanax latilobus","http://www.tropicos.org/Name/2200747",1000004162,TRUE
"42","Drimys granadensis","Drimys","granadensis","Drimys granadensis","http://www.tropicos.org/Name/34200005",1000004518,TRUE
"43","Enterolobium cyclocarpum","Enterolobium","cyclocarpum","Enterolobium cyclocarpum","http://www.tropicos.org/Name/13030083",3762,TRUE
"44","Erythrina costaricensis","Erythrina","costaricensis","Erythrina costaricensis","http://www.tropicos.org/Name/13009263",1000004822,TRUE
"45","Erythroxylum suberosum","Erythroxylum","suberosum","Erythroxylum suberosum","http://www.tropicos.org/Name/12500266",1000004882,TRUE
"46","Eugenia nesiotica","Eugenia","nesiotica","Eugenia nesiotica","http://www.tropicos.org/Name/22102097",1000005068,TRUE
"47","Faramea occidentalis","Faramea","occidentalis","Faramea occidentalis","http://www.tropicos.org/Name/27902704",31837,TRUE
"48","Ficus citrifolia","Ficus","citrifolia","Ficus citrifolia","http://www.tropicos.org/Name/21300460",33851,TRUE
"49","Ficus insipida","Ficus","insipida","Ficus insipida","http://www.tropicos.org/Name/21300606",1000005277,TRUE
"50","Gliricidia sepium","Gliricidia","sepium","Gliricidia sepium","http://www.tropicos.org/Name/13048407",605,TRUE
"51","Guapira noxia","Guapira","noxia","Guapira noxia","http://www.tropicos.org/Name/22500694",1000005697,TRUE
"52","Guarea guidonia","Guarea","guidonia","Guarea guidonia","http://www.tropicos.org/Name/20400341",622,TRUE
"53","Guatteria dumetorum","Guatteria","dumetorum","Guatteria dumetorum","http://www.tropicos.org/Name/1600214",1000005776,TRUE
"54","Guazuma ulmifolia","Guazuma","ulmifolia","Guazuma ulmifolia","http://www.tropicos.org/Name/30400486",5630,TRUE
"55","Gustavia superba","Gustavia","superba","Gustavia superba","http://www.tropicos.org/Name/17900010",1000005920,TRUE
"56","Hedyosmum goudotianum","Hedyosmum","goudotianum","Hedyosmum goudotianum","http://www.tropicos.org/Name/7300013",1000006069,TRUE
"57","Hedyosmum mexicanum","Hedyosmum","mexicanum","Hedyosmum mexicanum","http://www.tropicos.org/Name/7300015",1000006073,TRUE
"58","Hevea brasiliensis","Hevea","brasiliensis","Hevea brasiliensis","http://www.tropicos.org/Name/12801400",19340,TRUE
"59","Holocalyx balansae","Holocalyx","balansae","Holocalyx balansae","http://www.tropicos.org/Name/13020477",1000020867,TRUE
"60","Humiriastrum diguense","Humiriastrum","diguense","Humiriastrum diguense","http://www.tropicos.org/Name/15800034",1000006376,TRUE
"61","Hymenaea courbaril","Hymenaea","courbaril","Hymenaea courbaril","http://www.tropicos.org/Name/13005950",27020,TRUE
"62","Hymenaea martiana","Hymenaea","martiana","Hymenaea martiana","http://www.tropicos.org/Name/13020516",1000020868,TRUE
"63","Hymenaea stigonocarpa","Hymenaea","stigonocarpa","Hymenaea stigonocarpa","http://www.tropicos.org/Name/13020524",1000020879,TRUE
"64","Inga vera","Inga","vera","Inga vera","http://www.tropicos.org/Name/13021418",704,TRUE
"65","Ipomoea wolcottiana","Ipomoea","wolcottiana","Ipomoea wolcottiana","http://www.tropicos.org/Name/8502130",1000006740,TRUE
"66","Kielmeyera coriacea","Kielmeyera","coriacea","Kielmeyera coriacea","http://www.tropicos.org/Name/7801213",50498,TRUE
"67","Kleinhovia hospita","Kleinhovia","hospita","Kleinhovia hospita","http://www.tropicos.org/Name/30401419",44340,TRUE
"68","Lagerstroemia tomentosa","Lagerstroemia","tomentosa","Lagerstroemia tomentosa","http://www.tropicos.org/Name/19200388",1000007008,TRUE
"69","Laguncularia racemosa","Laguncularia","racemosa","Laguncularia racemosa","http://www.tropicos.org/Name/8200077",746,TRUE
"70","Luehea seemannii","Luehea","seemannii","Luehea seemannii","http://www.tropicos.org/Name/32200236",50567,TRUE
"71","Maclura tinctoria","Maclura","tinctoria","Maclura tinctoria","http://www.tropicos.org/Name/21300516",39582,TRUE
"72","Manilkara bidentata","Manilkara","bidentata","Manilkara bidentata","http://www.tropicos.org/Name/28700368",43171,TRUE
"73","Manilkara chicle","Manilkara","chicle","Manilkara chicle","http://www.tropicos.org/Name/28700413",1000007816,TRUE
"74","Marila laxiflora","Marila","laxiflora","Marila laxiflora","http://www.tropicos.org/Name/7800371",1000007859,TRUE
"75","Miconia argentea","Miconia","argentea","Miconia argentea","http://www.tropicos.org/Name/20302666",50624,TRUE
"76","Miconia cuspidata","Miconia","cuspidata","Miconia cuspidata","http://www.tropicos.org/Name/20301030",1000008327,TRUE
"77","Miconia minutiflora","Miconia","minutiflora","Miconia minutiflora","http://www.tropicos.org/Name/20300169",1000008488,TRUE
"78","Morisonia americana","Morisonia","americana","Morisonia americana","http://www.tropicos.org/Name/5900370",13503,TRUE
"79","Myriocarpa longipes","Myriocarpa","longipes","Myriocarpa longipes","http://www.tropicos.org/Name/33400494",50648,TRUE
"80","Myrospermum frutescens","Myrospermum","frutescens","Myrospermum frutescens","http://www.tropicos.org/Name/13036060",17254,TRUE
"81","Myrsine guianensis","Myrsine","guianensis","Myrsine guianensis","http://www.tropicos.org/Name/22000930",1000009201,TRUE
"82","Ochroma pyramidale","Ochroma","pyramidale","Ochroma pyramidale","http://www.tropicos.org/Name/3900204",25655,TRUE
"83","Ocotea diospyrifolia","Ocotea","diospyrifolia","Ocotea diospyrifolia","http://www.tropicos.org/Name/17803863",1000020870,TRUE
"84","Ocotea insularis","Ocotea","insularis","Ocotea insularis","http://www.tropicos.org/Name/17800241",1000009467,TRUE
"85","Ouratea lucens","Ouratea","lucens","Ouratea lucens","http://www.tropicos.org/Name/22800107",1000009869,TRUE
"86","Parapiptadenia rigida","Parapiptadenia","rigida","Parapiptadenia rigida","http://www.tropicos.org/Name/13011305",1000020871,TRUE
"87","Piper reticulatum","Piper","reticulatum","Piper reticulatum","http://www.tropicos.org/Name/25001139",24509,TRUE
"88","Piscidia carthagenensis","Piscidia","carthagenensis","Piscidia carthagenensis","http://www.tropicos.org/Name/13031807",25287,TRUE
"89","Pithecellobium dulce","Pithecellobium","dulce","Pithecellobium dulce","http://www.tropicos.org/Name/13012638",25660,TRUE
"90","Poulsenia armata","Poulsenia","armata","Poulsenia armata","http://www.tropicos.org/Name/21300623",50786,TRUE
"91","Pourouma bicolor","Pourouma","bicolor","Pourouma bicolor","http://www.tropicos.org/Name/21301041",1000011418,TRUE
"92","Prioria copaifera","Prioria","copaifera","Prioria copaifera","http://www.tropicos.org/Name/13044814",50795,TRUE
"93","Protium panamense","Protium","panamense","Protium panamense","http://www.tropicos.org/Name/4700236",1000011665,TRUE
"94","Pseudobombax septenatum","Pseudobombax","septenatum","Pseudobombax septenatum","http://www.tropicos.org/Name/3900261",50836,TRUE
"95","Psidium sartorianum","Psidium","sartorianum","Psidium sartorianum","http://www.tropicos.org/Name/22102112",1000011797,TRUE
"96","Qualea grandiflora","Qualea","grandiflora","Qualea grandiflora","http://www.tropicos.org/Name/34100133",50863,TRUE
"97","Qualea parviflora","Qualea","parviflora","Qualea parviflora","http://www.tropicos.org/Name/34100163",1000012111,TRUE
"98","Rhizophora mangle","Rhizophora","mangle","Rhizophora mangle","http://www.tropicos.org/Name/27600058",1196,TRUE
"99","Schefflera macrocarpa","Schefflera","macrocarpa","Schefflera macrocarpa","http://www.tropicos.org/Name/50254555",1000020872,TRUE
"100","Schefflera morototoni","Schefflera","morototoni","Schefflera morototoni","http://www.tropicos.org/Name/2200796",51206,TRUE
"101","Semialarium mexicanum","Semialarium","mexicanum","Semialarium mexicanum","http://www.tropicos.org/Name/15600396",1000020873,TRUE
"102","Senna dariensis","Senna","dariensis","Senna dariensis","http://www.tropicos.org/Name/13041308",1000013190,TRUE
"103","Simarouba amara","Simarouba","amara","Simarouba amara","http://www.tropicos.org/Name/29400090",50962,TRUE
"104","Spondias purpurea","Spondias","purpurea","Spondias purpurea","http://www.tropicos.org/Name/1300271",24450,TRUE
"105","Styrax ferrugineus","Styrax","ferrugineus","Styrax ferrugineus","http://www.tropicos.org/Name/30800015",1000020874,TRUE
"106","Styrax pohlii","Styrax","pohlii","Styrax pohlii","http://www.tropicos.org/Name/30800040",1000020875,TRUE
"107","Swietenia macrophylla","Swietenia","macrophylla","Swietenia macrophylla","http://www.tropicos.org/Name/20400346",1354,TRUE
"108","Symplocos lanceolata","Symplocos","lanceolata","Symplocos lanceolata","http://www.tropicos.org/Name/30900096",1000020876,TRUE
"109","Syzygium cumini","Syzygium","cumini","Syzygium cumini","http://www.tropicos.org/Name/22102113",36558,TRUE
"110","Tabebuia rosea","Tabebuia","rosea","Tabebuia rosea","http://www.tropicos.org/Name/3700648",2834,TRUE
"111","Tachigali versicolor","Tachigali","versicolor","Tachigali versicolor","http://www.tropicos.org/Name/13001906",50999,TRUE
"112","Tapirira guianensis","Tapirira","guianensis","Tapirira guianensis","http://www.tropicos.org/Name/1300281",1000014356,TRUE
"113","Terminalia amazonia","Terminalia","amazonia","Terminalia amazonia","http://www.tropicos.org/Name/8200207",1000014401,TRUE
"114","Trattinnickia aspera","Trattinnickia","aspera","Trattinnickia aspera","http://www.tropicos.org/Name/4700241",1000014798,TRUE
"115","Virola sebifera","Virola","sebifera","Virola sebifera","http://www.tropicos.org/Name/21800101",25996,TRUE
"116","Vismia billbergiana","Vismia","billbergiana","Vismia billbergiana","http://www.tropicos.org/Name/7800776",1000015206,TRUE
"117","Vochysia ferruginea","Vochysia","ferruginea","Vochysia ferruginea","http://www.tropicos.org/Name/34100141",1000015271,TRUE
"118","Vochysia thyrsoidea","Vochysia","thyrsoidea","Vochysia thyrsoidea","http://www.tropicos.org/Name/50184812",1000020878,TRUE
"119","Xylopia macrantha","Xylopia","macrantha","Xylopia macrantha","http://www.tropicos.org/Name/1600511",1000015453,TRUE
"120","Zanthoxylum panamense","Zanthoxylum","panamense","Zanthoxylum panamense","http://www.tropicos.org/Name/28100631",51088,TRUE
"121","Zuelania guidonia","Zuelania","guidonia","Zuelania guidonia","http://www.tropicos.org/Name/13200529",51093,TRUE
"122","Aspidosperma tomentosum","Aspidosperma","tomentosum","Aspidosperma tomentosum","http://www.tropicos.org/Name/1802208",49981,TRUE
"123","Baccaurea ramiflora","Baccaurea","ramiflora","Baccaurea ramiflora","http://www.tropicos.org/Name/50056948",14893,TRUE
"124","Barringtonia racemosa","Barringtonia","racemosa","Barringtonia racemosa","http://www.tropicos.org/Name/17900318",18401,TRUE
